PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Fare_range,Age_range,Family
305,0,3,0,0,0,0,0,8.05,-1,2,1,-1,0
306,1,1,3,0,0,1,2,151.55,2,2,16,0,3
307,1,1,2,1,0,0,0,110.8833,-1,0,12,-1,0
308,1,1,1,1,17,1,0,108.9,2,0,11,1,1
309,0,2,0,0,30,1,0,24.0,-1,0,3,3,1
310,1,1,2,1,30,0,0,56.9292,4,0,6,3,0
311,1,1,2,1,24,0,0,83.1583,2,0,9,2,0
312,1,1,2,1,18,2,2,262.375,1,0,21,1,4
313,0,2,1,1,26,1,1,26.0,-1,2,3,2,2
314,0,3,0,0,28,0,0,7.8958,-1,2,1,2,0
315,0,2,0,0,43,1,1,26.25,-1,2,3,4,2
316,1,3,2,1,26,0,0,7.8542,-1,2,1,2,0
317,1,2,1,1,24,1,0,26.0,-1,2,3,2,1
318,0,2,0,0,54,0,0,14.0,-1,2,2,5,0
319,1,1,2,1,31,0,2,164.8667,2,2,17,3,2
320,1,1,1,1,40,1,1,134.5,4,0,14,4,2
321,0,3,0,0,22,0,0,7.25,-1,2,1,2,0
322,0,3,0,0,27,0,0,7.8958,-1,2,1,2,0
323,1,2,2,1,30,0,0,12.35,-1,1,2,3,0
324,1,2,1,1,22,1,1,29.0,-1,2,3,2,2
325,0,3,0,0,0,8,2,69.55,-1,2,7,-1,10
326,1,1,2,1,36,0,0,135.6333,2,0,14,3,0
327,0,3,0,0,61,0,0,6.2375,-1,2,1,6,0
328,1,2,1,1,36,0,0,13.0,3,2,2,3,0
329,1,3,1,1,31,1,1,20.525,-1,2,3,3,2
330,1,1,2,1,16,0,1,57.9792,1,0,6,1,1
331,1,3,2,1,0,2,0,23.25,-1,1,3,-1,2
332,0,1,0,0,45,0,0,28.5,2,2,3,4,0
333,0,1,0,0,38,0,1,153.4625,2,2,16,3,1
334,0,3,0,0,16,2,0,18.0,-1,2,2,1,2
335,1,1,1,1,0,1,0,133.65,-1,2,14,-1,1
336,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
337,0,1,0,0,29,1,0,66.6,2,2,7,2,1
338,1,1,2,1,41,0,0,134.5,4,0,14,4,0
339,1,3,0,0,45,0,0,8.05,-1,2,1,4,0
340,0,1,0,0,45,0,0,35.5,7,2,4,4,0
341,1,2,3,0,2,1,1,26.0,5,2,3,0,2
342,1,1,2,1,24,3,2,263.0,2,2,21,2,5
343,0,2,0,0,28,0,0,13.0,-1,2,2,2,0
344,0,2,0,0,25,0,0,13.0,-1,2,2,2,0
345,0,2,0,0,36,0,0,13.0,-1,2,2,3,0
346,1,2,2,1,24,0,0,13.0,5,2,2,2,0
347,1,2,2,1,40,0,0,13.0,-1,2,2,4,0
348,1,3,1,1,0,1,0,16.1,-1,2,2,-1,1
349,1,3,3,0,3,1,1,15.9,-1,2,2,0,2
350,0,3,0,0,42,0,0,8.6625,-1,2,1,4,0
351,0,3,0,0,23,0,0,9.225,-1,2,1,2,0
352,0,1,0,0,0,0,0,35.0,2,2,4,-1,0
353,0,3,0,0,15,1,1,7.2292,-1,0,1,1,2
354,0,3,0,0,25,1,0,17.8,-1,2,2,2,1
355,0,3,0,0,0,0,0,7.225,-1,0,1,-1,0
356,0,3,0,0,28,0,0,9.5,-1,2,1,2,0
357,1,1,2,1,22,0,1,55.0,4,2,6,2,1
358,0,2,2,1,38,0,0,13.0,-1,2,2,3,0
359,1,3,2,1,0,0,0,7.8792,-1,1,1,-1,0
360,1,3,2,1,0,0,0,7.8792,-1,1,1,-1,0
361,0,3,0,0,40,1,4,27.9,-1,2,3,4,5
362,0,2,0,0,29,1,0,27.7208,-1,0,3,2,1
363,0,3,1,1,45,0,1,14.4542,-1,0,2,4,1
364,0,3,0,0,35,0,0,7.05,-1,2,1,3,0
365,0,3,0,0,0,1,0,15.5,-1,1,2,-1,1
366,0,3,0,0,30,0,0,7.25,-1,2,1,3,0
367,1,1,1,1,60,1,0,75.25,3,0,8,6,1
368,1,3,1,1,0,0,0,7.2292,-1,0,1,-1,0
369,1,3,2,1,0,0,0,7.75,-1,1,1,-1,0
370,1,1,1,1,24,0,0,69.3,1,0,7,2,0
371,1,1,0,0,25,1,0,55.4417,4,0,6,2,1
372,0,3,0,0,18,1,0,6.4958,-1,2,1,1,1
373,0,3,0,0,19,0,0,8.05,-1,2,1,1,0
374,0,1,0,0,22,0,0,135.6333,-1,0,14,2,0
375,0,3,2,1,3,3,1,21.075,-1,2,3,0,4
376,1,1,1,1,0,1,0,82.1708,-1,0,9,-1,1
377,1,3,2,1,22,0,0,7.25,-1,2,1,2,0
378,0,1,0,0,27,0,2,211.5,2,0,21,2,2
379,0,3,0,0,20,0,0,4.0125,-1,0,1,2,0
380,0,3,0,0,19,0,0,7.775,-1,2,1,1,0
381,1,1,2,1,42,0,0,227.525,-1,0,21,4,0
382,1,3,2,1,1,0,2,15.7417,-1,0,2,0,2
383,0,3,0,0,32,0,0,7.925,-1,2,1,3,0
384,1,1,1,1,35,1,0,52.0,-1,2,6,3,1
385,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
386,0,2,0,0,18,0,0,73.5,-1,2,8,1,0
387,0,3,3,0,1,5,2,46.9,-1,2,5,0,7
388,1,2,2,1,36,0,0,13.0,-1,2,2,3,0
389,0,3,0,0,0,0,0,7.7292,-1,1,1,-1,0
390,1,2,2,1,17,0,0,12.0,-1,0,2,1,0
391,1,1,0,0,36,1,2,120.0,1,2,13,3,3
392,1,3,0,0,21,0,0,7.7958,-1,2,1,2,0
393,0,3,0,0,28,2,0,7.925,-1,2,1,2,2
394,1,1,2,1,23,1,0,113.275,3,0,12,2,1
395,1,3,1,1,24,0,2,16.7,6,2,2,2,2
396,0,3,0,0,22,0,0,7.7958,-1,2,1,2,0
397,0,3,2,1,31,0,0,7.8542,-1,2,1,3,0
398,0,2,0,0,46,0,0,26.0,-1,2,3,4,0
399,0,2,0,0,23,0,0,10.5,-1,2,2,2,0
400,1,2,1,1,28,0,0,12.65,-1,2,2,2,0
401,1,3,0,0,39,0,0,7.925,-1,2,1,3,0
402,0,3,0,0,26,0,0,8.05,-1,2,1,2,0
403,0,3,2,1,21,1,0,9.825,-1,2,1,2,1
404,0,3,0,0,28,1,0,15.85,-1,2,2,2,1
405,0,3,2,1,20,0,0,8.6625,-1,2,1,2,0
406,0,2,0,0,34,1,0,21.0,-1,2,3,3,1
407,0,3,0,0,51,0,0,7.75,-1,2,1,5,0
408,1,2,3,0,3,1,1,18.75,-1,2,2,0,2
409,0,3,0,0,21,0,0,7.775,-1,2,1,2,0
410,0,3,2,1,0,3,1,25.4667,-1,2,3,-1,4
411,0,3,0,0,0,0,0,7.8958,-1,2,1,-1,0
412,0,3,0,0,0,0,0,6.8583,-1,1,1,-1,0
413,1,1,2,1,33,1,0,90.0,2,1,10,3,1
414,0,2,0,0,0,0,0,0.0,-1,2,1,-1,0
415,1,3,0,0,44,0,0,7.925,-1,2,1,4,0
416,0,3,1,1,0,0,0,8.05,-1,2,1,-1,0
417,1,2,1,1,34,1,1,32.5,-1,2,4,3,2
418,1,2,2,1,18,0,2,13.0,-1,2,2,1,2
419,0,2,0,0,30,0,0,13.0,-1,2,2,3,0
420,0,3,2,1,10,0,2,24.15,-1,2,3,1,2
421,0,3,0,0,0,0,0,7.8958,-1,0,1,-1,0
422,0,3,0,0,21,0,0,7.7333,-1,1,1,2,0
423,0,3,0,0,29,0,0,7.875,-1,2,1,2,0
424,0,3,1,1,28,1,1,14.4,-1,2,2,2,2
425,0,3,0,0,18,1,1,20.2125,-1,2,3,1,2
426,0,3,0,0,0,0,0,7.25,-1,2,1,-1,0
427,1,2,1,1,28,1,0,26.0,-1,2,3,2,1
428,1,2,1,1,19,0,0,26.0,-1,2,3,1,0
429,0,3,0,0,0,0,0,7.75,-1,1,1,-1,0
430,1,3,0,0,32,0,0,8.05,4,2,1,3,0
431,1,1,0,0,28,0,0,26.55,2,2,3,2,0
432,1,3,1,1,0,1,0,16.1,-1,2,2,-1,1
433,1,2,1,1,42,1,0,26.0,-1,2,3,4,1
434,0,3,0,0,17,0,0,7.125,-1,2,1,1,0
435,0,1,0,0,50,1,0,55.9,4,2,6,5,1
436,1,1,2,1,14,1,2,120.0,1,2,13,1,3
437,0,3,2,1,21,2,2,34.375,-1,2,4,2,4
438,1,2,1,1,24,2,3,18.75,-1,2,2,2,5
439,0,1,0,0,64,1,4,263.0,2,2,21,6,5
440,0,2,0,0,31,0,0,10.5,-1,2,2,3,0
441,1,2,1,1,45,1,1,26.25,-1,2,3,4,2
442,0,3,0,0,20,0,0,9.5,-1,2,1,2,0
443,0,3,0,0,25,1,0,7.775,-1,2,1,2,1
